RowNumber,CustomerId,FullName,CreditScore,Province,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2,15647311,Đặng Hải Hải,608.0,TP.HCM,Female,41.0,1,83807.86,1,0,1,112542.58,0
4,15701354,Hoàng Thị Hải,699.0,TP.HCM,Female,39.0,1,0.0,2,0,0,93826.63,0
5,15737888,Nguyễn Ngọc Khánh,850.0,Long An,Female,,2,125510.82,1,1,1,79084.1,0
7,15592531,Phạm Hữu Tuấn,822.0,Long An,Male,50.0,7,0.0,2,1,1,10062.8,0
9,15792365,Hoàng Phương Hùng,,Hải Phòng,Male,44.0,4,142051.07,2,0,1,,0
10,15592389,Ngô Hoàng Hà,,TP.HCM,Male,27.0,2,134603.88,1,1,1,71725.73,0
11,15767821,Võ Thị Phúc,528.0,Cần Thơ,Male,31.0,6,102016.72,2,0,0,80181.12,0
12,15737173,Đặng Xuân Hà,497.0,Đồng Nai,Male,24.0,3,0.0,2,1,0,76390.01,0
13,15632264,Trần Thanh Anh,476.0,Bắc Ninh,Female,unknown,10,0.0,2,1,0,26260.98,0
14,15691483,Trần Hoàng Huyền,549.0,Long An,Female,25.0,5,0.0,2,0,0,190857.79,0
15,15600882,Bùi Văn Nam,635.0,Hải Phòng,Female,35.0,7,0.0,2,1,1,65951.65,0
16,15643966,Bùi Hải Dũng,616.0,Khánh Hòa,Male,45.0,3,143129.41,2,0,1,64327.26,0
18,15788218,Lê Hữu Phúc,549.0,Lâm Đồng,Female,24.0,9,0.0,2,1,1,14406.41,0
19,15661507,Dương Thùy Anh,,Long An,Male,45.0,6,0.0,1,0,0,158684.81,0
20,15568982,Phạm Hải Khánh,726.0,Lâm Đồng,Female,24.0,6,,2,1,1,54724.03,0
21,15577657,Nguyễn Thanh Khoa,732.0,TP.HCM,Male,41.0,8,0.0,2,1,1,170886.17,0
22,15597945,Võ Xuân Khoa,636.0,Bà Rịa - Vũng Tàu,Female,unknown,8,0.0,2,1,0,138555.46,0
24,15725737,Lý Văn Thảo,162.0,Khánh Hòa,Male,unknown,3,0.0,2,0,1,8487.75,0
25,15625047,Đỗ Hoàng Phúc,846.0,Kiên Giang,Female,38.0,5,0.0,1,1,1,187616.16,0
26,15738191,Nguyễn Hữu Phúc,577.0,Long An,Male,25.0,3,nan,2,0,1,124508.29,0
27,15736816,Đặng Hữu Lan,756.0,Hà Nội,Male,36.0,2,136815.64,1,1,1,170041.95,0
28,15700772,Trần Hải Khoa,571.0,Thừa Thiên Huế,Male,44.0,9,0.0,2,0,0,38433.35,0
29,15728693,Đỗ Thanh Phúc,574.0,Khánh Hòa,Female,43.0,3,141349.43,1,1,1,100187.43,0
30,15656300,Bùi Minh Nam,411.0,Bà Rịa - Vũng Tàu,Male,29.0,0,59697.17,2,1,1,53483.21,0
32,15706552,Phạm Văn Khoa,nan,TP.HCM,Male,unknown,7,,1,0,1,156731.91,0
33,15750181,Ngô Tuấn Tâm,553.0,Quảng Ninh,Male,,9,110112.54,2,0,0,81898.81,0
34,15659428,Đỗ Hải Nam,520.0,Đà Nẵng,Female,42.0,6,0.0,2,1,1,34410.55,0
35,15732963,Ngô Hải Thảo,,Bình Dương,Female,unknown,9,0.0,2,1,1,142033.07,0
37,15788448,Võ Hải Thảo,490.0,Khánh Hòa,Male,31.0,3,,1,0,1,114066.77,0
38,15729599,Vũ Phương Tâm,804.0,Bà Rịa - Vũng Tàu,Male,33.0,7,76548.6,1,0,1,98453.45,0
39,15717426,Lê Hoàng Anh,850.0,Quảng Ninh,Male,36.0,7,0.0,1,1,1,40812.9,0
40,15585768,Hoàng Hải Khoa,,Hà Nội,Male,41.0,6,70349.48,2,0,1,178074.04,0
41,15619360,Ngô Hoàng Hải,,TP.HCM,Male,40.0,4,0.0,1,1,0,70154.22,0
43,15687946,Trần Hải Tâm,556.0,An Giang,Female,,2,117419.35,1,1,1,94153.83,0
45,15684171,Dương Hữu Lan,660.0,Lâm Đồng,Female,61.0,5,155931.11,1,1,1,158338.39,0
46,15754849,Lê Ngọc Hà,776.0,Thừa Thiên Huế,Female,,4,,2,1,1,126517.46,0
49,15766205,Bùi Xuân Tuấn,550.0,Thanh Hóa,Male,,2,103391.38,1,0,1,,0
50,15771873,Võ Xuân Huyền,776.0,Đồng Nai,Female,37.0,2,nan,2,1,0,194099.12,0
51,15616550,Nguyễn Văn Anh,698.0,Kiên Giang,Male,44.0,10,116363.37,2,1,0,198059.16,0
52,15768193,Dương Thùy Lan,585.0,Khánh Hòa,Male,36.0,5,146050.97,2,0,0,86424.57,0
